,movieId,genres
277,318,Crime|Drama
314,356,Comedy|Drama|Romance|War
257,296,Comedy|Crime|Drama|Thriller
1938,2571,Action|Sci-Fi|Thriller
510,593,Crime|Horror|Thriller
224,260,Action|Adventure|Sci-Fi
97,110,Action|Drama|War
2224,2959,Action|Crime|Drama|Thriller
461,527,Drama|War
418,480,Action|Adventure|Sci-Fi|Thriller
507,589,Action|Sci-Fi
897,1196,Action|Adventure|Sci-Fi
46,50,Crime|Mystery|Thriller
0,1,Adventure|Animation|Children|Comedy|Fantasy
899,1198,Action|Adventure
2144,2858,Drama|Romance
659,858,Crime|Drama
3633,4993,Adventure|Fantasy
910,1210,Action|Adventure|Sci-Fi
43,47,Mystery|Thriller
1502,2028,Action|Drama|War
123,150,Adventure|Drama|IMAX
4791,7153,Action|Adventure|Drama|Fantasy
398,457,Thriller
4131,5952,Adventure|Fantasy
520,608,Comedy|Crime|Drama|Thriller
31,32,Mystery|Sci-Fi|Thriller
2077,2762,Drama|Horror|Mystery
615,780,Action|Adventure|Sci-Fi|Thriller
506,588,Adventure|Animation|Children|Comedy|Musical
968,1270,Adventure|Comedy|Sci-Fi
322,364,Adventure|Animation|Children|Drama|Musical|IMAX
2670,3578,Action|Adventure|Drama
3189,4306,Adventure|Animation|Children|Comedy|Fantasy|Romance
3136,4226,Mystery|Thriller
509,592,Action|Crime|Thriller
6693,58559,Action|Crime|Drama|IMAX
508,590,Adventure|Drama|Western
337,380,Action|Adventure|Comedy|Romance|Thriller
334,377,Action|Romance|Thriller
898,1197,Action|Adventure|Comedy|Fantasy|Romance
7355,79132,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
914,1214,Horror|Sci-Fi
1182,1580,Action|Comedy|Sci-Fi
1283,1704,Drama|Romance
546,648,Action|Adventure|Mystery|Thriller
989,1291,Action|Adventure
862,1136,Adventure|Comedy|Fantasy
963,1265,Comedy|Fantasy|Romance
4421,6539,Action|Adventure|Comedy|Fantasy
793,1036,Action|Crime|Thriller
895,1193,Drama
4354,6377,Adventure|Animation|Children|Comedy
512,595,Animation|Children|Fantasy|Musical|Romance|IMAX
827,1089,Crime|Mystery|Thriller
921,1221,Crime|Drama
4900,7361,Drama|Romance|Sci-Fi
1733,2329,Crime|Drama
913,1213,Crime|Drama
254,293,Action|Crime|Drama|Thriller
4607,6874,Action|Crime|Thriller
138,165,Action|Crime|Thriller
3563,4886,Adventure|Animation|Children|Comedy|Fantasy
938,1240,Action|Sci-Fi|Thriller
474,541,Action|Sci-Fi|Thriller
3617,4973,Comedy|Romance
325,367,Action|Comedy|Crime|Fantasy
901,1200,Action|Adventure|Horror|Sci-Fi
2832,3793,Action|Adventure|Sci-Fi
3635,4995,Drama|Romance
302,344,Comedy
436,500,Comedy|Drama
906,1206,Crime|Drama|Sci-Fi|Thriller
5363,8961,Action|Adventure|Animation|Children|Comedy
1290,1721,Drama|Romance
1266,1682,Comedy|Drama|Sci-Fi
275,316,Action|Adventure|Sci-Fi
514,597,Comedy|Romance
32,34,Children|Drama
9,10,Action|Adventure|Thriller
815,1073,Children|Comedy|Fantasy|Musical
2370,3147,Crime|Drama
835,1097,Children|Drama|Sci-Fi
3609,4963,Crime|Thriller
6298,48516,Crime|Drama|Thriller
2037,2716,Action|Comedy|Sci-Fi
908,1208,Action|Drama|War
4153,5989,Crime|Drama
5901,33794,Action|Crime|IMAX
956,1258,Horror
592,733,Action|Adventure|Thriller
3868,5445,Action|Crime|Mystery|Sci-Fi|Thriller
1978,2628,Action|Adventure|Sci-Fi
1157,1527,Action|Adventure|Comedy|Sci-Fi
3557,4878,Drama|Mystery|Sci-Fi|Thriller
3814,5349,Action|Adventure|Sci-Fi|Thriller
3849,5418,Action|Mystery|Thriller
1444,1968,Comedy|Drama
98,111,Crime|Drama|Thriller
4926,7438,Action|Drama|Thriller
706,924,Adventure|Drama|Sci-Fi
694,912,Drama|Romance
2979,3996,Action|Drama|Romance
6755,60069,Adventure|Animation|Children|Romance|Sci-Fi
7022,68954,Adventure|Animation|Children|Drama
2194,2918,Comedy
922,1222,Drama|War
1297,1732,Comedy|Crime
602,750,Comedy|War
613,778,Comedy|Crime|Drama
594,736,Action|Adventure|Romance|Thriller
197,231,Adventure|Comedy
5,6,Action|Crime|Thriller
3569,4896,Adventure|Children|Fantasy
190,223,Comedy
126,153,Action|Adventure|Comedy|Crime
307,349,Action|Crime|Drama|Thriller
505,587,Comedy|Drama|Fantasy|Romance|Thriller
1217,1617,Crime|Film-Noir|Mystery|Thriller
1575,2115,Action|Adventure|Fantasy
2257,2997,Comedy|Drama|Fantasy
6134,44191,Action|Sci-Fi|Thriller|IMAX
2013,2683,Action|Adventure|Comedy
2992,4011,Comedy|Crime|Thriller
1403,1923,Comedy|Romance
1882,2502,Comedy|Crime
